,h3_hex_small_id,geometry
25,881f1b55b9fffff,"POLYGON ((13.668159305633 51.03390575753113, 13.66597313469836 51.02957570041166, 13.67115609334632 51.02651846196382, 13.67852539097733 51.02779110578379, 13.68071237958557 51.03212112744541, 13.67552925295755 51.0351785407663, 13.668159305633 51.03390575753113))"
26,881f1b4697fffff,"POLYGON ((13.86601882484435 51.01257272032935, 13.86381957170024 51.00824364786617, 13.8689957590623 51.00517549609422, 13.87637136031724 51.00643624133384, 13.87857142775427 51.01076527629966, 13.87339507971275 51.01383360354447, 13.86601882484435 51.01257272032935))"
27,881f1b0b01fffff,"POLYGON ((13.78656622873923 51.12141987175884, 13.78436906515261 51.11709632223783, 13.78955543970591 51.11403788874232, 13.79693914199867 51.11530282918831, 13.79913712359222 51.1196263415252, 13.79395058495528 51.1226849506216, 13.78656622873923 51.12141987175884))"
28,881f1b0b45fffff,"POLYGON ((13.75843172755347 51.13238219792549, 13.756236176108 51.1280589773115, 13.761424107402 51.12500251917896, 13.76880775537305 51.12626910613682, 13.77100412549459 51.13059228981579, 13.76581602903814 51.13364892349329, 13.75843172755347 51.13238219792549))"
29,881f1b0b59fffff,"POLYGON ((13.79975528952604 51.14735526689137, 13.79755638875229 51.14303340386157, 13.80274434943339 51.13997570178727, 13.81013137468168 51.1412396870225, 13.81233109387911 51.14556151259422, 13.80714296947392 51.14861939041018, 13.79975528952604 51.14735526689137))"
30,881f1b460dfffff,"POLYGON ((13.72793265280587 51.03235768103866, 13.72574237178503 51.02802820449043, 13.73092365871177 51.02496792649659, 13.73829539252693 51.02623694999794, 13.74048649031998 51.03056639044699, 13.7353050375943 51.03362684351521, 13.72793265280587 51.03235768103866))"
31,881f1b4609fffff,"POLYGON ((13.73749615950843 51.03795588189357, 13.7353050375943 51.03362684351521, 13.74048649031998 51.03056639044699, 13.74785923050613 51.03183480065081, 13.75005116918468 51.03616380279797, 13.74486955098141 51.0392244309938, 13.73749615950843 51.03795588189357))"
32,881f1b0939fffff,"POLYGON ((13.82302366214751 51.06053861408094, 13.82082588384913 51.05621188051847, 13.82600676744173 51.05314840263367, 13.83338559187028 51.05441148283086, 13.83558418621346 51.0587381791214, 13.83040314015249 51.06180183250799, 13.82302366214751 51.06053861408094))"
33,881f1b5557fffff,"POLYGON ((13.58382186778747 51.06672666958646, 13.58164054299754 51.0623976084379, 13.58682812361646 51.0593462942081, 13.59419720029838 51.06062386645192, 13.59637934474528 51.06495289289327, 13.59119159292137 51.0680043818195, 13.58382186778747 51.06672666958646))"
34,881f1b543bfffff,"POLYGON ((13.65972688973585 51.08381054158623, 13.65753974051666 51.07948333505622, 13.66272662987578 51.07642917117004, 13.67010083705012 51.07770203881016, 13.6722888052362 51.08202920972146, 13.66710174734951 51.08508354863275, 13.65972688973585 51.08381054158623))"
35,881f1b0b15fffff,"POLYGON ((13.8117079062897 51.11783134023804, 13.80950910691551 51.11350786521223, 13.81469455150887 51.11044799806005, 13.82207895869461 51.11171143028172, 13.82427857562294 51.11603486786947, 13.81909296788071 51.11909491069497, 13.8117079062897 51.11783134023804))"
