p_rack_locks,city,p_bike_racks,p_name,p_spot,b_state,p_terminal_type,p_booked_bikes,trip,p_uid,b_lock_types,b_active,p_bikes,p_maintenance,p_lat,p_bike_types,p_address,p_lng,b_number,p_bike,b_battery_pack,p_free_racks,b_pedelec_battery,p_place_type,p_special_racks,datetime,p_number,b_boardcomputer,b_electric_lock,p_free_special_racks,b_bike_type
False,dresden,0,BIKE 93783,False,ok,,0,start,22484986,frame_lock,True,1,False,51.024106666667,"{""71"": 1}",,13.83832,93783,True,,0,,12,0,2019-09-24 01:17:00,0,7551006397,True,0,71
False,dresden,0,BIKE 93783,False,ok,,0,end,22484986,frame_lock,True,1,False,51.024106666667,"{""71"": 1}",,13.83832,93783,True,,0,,12,0,2019-09-24 01:20:00,0,7551006397,True,0,71
False,dresden,0,BIKE 93783,False,ok,,0,start,22533749,frame_lock,True,1,False,51.025773333333,"{""71"": 1}",,13.83713,93783,True,,0,,12,0,2019-09-24 22:21:00,0,7551006397,True,0,71
False,dresden,0,BIKE 93783,False,ok,,0,end,22533749,frame_lock,True,1,False,51.025773333333,"{""71"": 1}",,13.83713,93783,True,,0,,12,0,2019-09-24 22:28:00,0,7551006397,True,0,71
False,dresden,0,BIKE 93783,False,ok,,0,last,22536149,frame_lock,True,1,False,51.023875555556,"{""71"": 1}",,13.838445555556,93783,True,,0,,12,0,2019-09-24 23:59:00,0,7551006397,True,0,71
False,dresden,0,Bergmannstraße / Wormser Straße,True,ok,,0,first,274412,frame_lock,True,7,False,51.04509047631222,"{""71"": 7}",,13.78983736038208,93911,False,,0,,0,0,2019-09-24 00:00:00,4425,7551012414,True,0,71
False,dresden,0,Bergmannstraße / Wormser Straße,True,ok,,0,start,274412,frame_lock,True,7,False,51.04509047631222,"{""71"": 7}",,13.78983736038208,93911,False,,0,,0,0,2019-09-24 01:17:00,4425,7551012414,True,0,71
False,dresden,0,Bergmannstraße / Wormser Straße,True,ok,,0,end,274412,frame_lock,True,7,False,51.04509047631222,"{""71"": 7}",,13.78983736038208,93911,False,,0,,0,0,2019-09-24 01:20:00,4425,7551012414,True,0,71
False,dresden,0,Bergmannstraße / Wormser Straße,True,ok,,0,start,274412,frame_lock,True,7,False,51.04509047631222,"{""71"": 7}",,13.78983736038208,93911,False,,0,,0,0,2019-09-24 07:52:00,4425,7551012414,True,0,71
False,dresden,0,Conertplatz,True,ok,,0,end,310791,frame_lock,True,2,False,51.04600108441405,"{""71"": 2}",,13.69296669960022,93911,False,,0,,0,0,2019-09-24 08:23:00,4437,7551012414,True,0,71
False,dresden,0,Conertplatz,True,ok,,0,start,310791,frame_lock,True,2,False,51.04600108441405,"{""71"": 2}",,13.69296669960022,93911,False,,0,,0,0,2019-09-24 10:47:00,4437,7551012414,True,0,71
False,dresden,0,BIKE 93911,False,ok,,0,end,22503939,frame_lock,True,1,False,51.029751111111,"{""71"": 1}",,13.736266666667,93911,True,,0,,12,0,2019-09-24 11:03:00,0,7551012414,True,0,71
