p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93414,True,51.028524444444,14256151,,False,frame_lock,0,93414,0,,True,False,0,dresden,"{""undefined"": 1}",,13.719582222222,False,1,ok,0,last,,7551003578,0,2019-04-08 23:59:00,12,True
Andreas-Pfitzmann-Bau,True,51.025619416653,4405708,traffic_sign,False,frame_lock,4461,93909,0,,True,True,71,dresden,"{""71"": 5}",,13.723919391632,False,5,ok,0,first,,7551012826,0,2019-04-08 12:25:00,0,False
Andreas-Pfitzmann-Bau,True,51.025619416653,4405708,traffic_sign,False,frame_lock,4461,93909,0,,True,True,71,dresden,"{""71"": 5}",,13.723919391632,False,5,ok,0,start,,7551012826,0,2019-04-08 12:46:00,0,False
BIKE 93909,True,51.042586666667,14230539,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.701304444444,False,1,ok,0,end,,7551012826,0,2019-04-08 12:59:00,12,True
BIKE 93909,True,51.042551111111,14230539,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.701241111111,False,1,ok,0,start,,7551012826,0,2019-04-08 13:04:00,12,True
BIKE 93909,True,51.052426666667,14231278,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.728824444444,False,1,ok,0,end,,7551012826,0,2019-04-08 13:14:00,12,True
BIKE 93909,True,51.05232,14238421,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.731554444444,False,1,ok,0,start,,7551012826,0,2019-04-08 15:44:00,12,True
BIKE 93909,True,51.05232,14238421,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.731554444444,False,1,ok,0,end,,7551012826,0,2019-04-08 15:51:00,12,True
BIKE 93909,True,51.05232,14238421,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.731554444444,False,1,ok,0,start,,7551012826,0,2019-04-08 15:59:00,12,True
BIKE 93909,True,51.049675555556,14244219,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.730128888889,False,1,ok,0,end,,7551012826,0,2019-04-08 16:52:00,12,True
