b_number,b_boardcomputer,p_booked_bikes,b_pedelec_battery,p_special_racks,p_bike_racks,p_uid,p_place_type,trip,b_battery_pack,p_bike_types,b_lock_types,p_name,p_bikes,p_bike,p_maintenance,b_state,p_address,p_lng,p_free_racks,b_bike_type,p_rack_locks,p_spot,b_active,datetime,p_number,p_terminal_type,p_free_special_racks,p_lat,city,b_electric_lock
93866,7551012743,0,,0,6,300243,0,first,,"{""71"": 3}",frame_lock,DVB Endpunkt Pillnitz,3,False,False,ok,,13.863823413848875,3,71,False,True,True,2019-11-15 00:00:00,4428,stele,0,51.01393690341422,dresden,True
93866,7551012743,0,,0,6,300243,0,last,,"{""71"": 2}",frame_lock,DVB Endpunkt Pillnitz,2,False,False,ok,,13.863823413848875,4,71,False,True,True,2019-11-15 23:59:00,4428,stele,0,51.01393690341422,dresden,True
93884,7551012517,0,,0,6,300244,0,first,,"{""71"": 1}",frame_lock,DVB Endpunkt Prohlis,1,False,False,ok,,13.799300193786621,5,71,False,True,True,2019-11-15 00:00:00,4430,,0,50.99940220578943,dresden,True
93884,7551012517,0,,0,6,300244,0,last,,"{""71"": 2}",frame_lock,DVB Endpunkt Prohlis,2,False,False,ok,,13.799300193786621,4,71,False,True,True,2019-11-15 23:59:00,4430,,0,50.99940220578943,dresden,True
93060,7551002317,0,,0,4,300246,0,first,,"{""15"": 1, ""71"": 1}",frame_lock,Markthalle Dresden,2,False,False,ok,,13.745548725128174,2,71,False,True,True,2019-11-15 00:00:00,4432,stele,0,51.05990081210173,dresden,True
93060,7551002317,0,,0,0,24879770,12,start,,"{""71"": 1}",frame_lock,BIKE 93060,1,True,False,ok,,13.747244444444,0,71,False,False,True,2019-11-15 14:02:00,0,,0,51.060751111111,dresden,True
93060,7551002317,0,,0,0,120,0,end,,"{""71"": 22}",frame_lock,Hauptbahnhof,22,False,True,ok,,13.733623623847961,0,71,False,True,True,2019-11-15 14:19:00,4313,,0,51.040476453474334,dresden,True
93060,7551002317,0,,0,0,120,0,start,,"{""71"": 23}",frame_lock,Hauptbahnhof,23,False,True,ok,,13.733623623847961,0,71,False,True,True,2019-11-15 15:28:00,4313,,0,51.040476453474334,dresden,True
93060,7551002317,0,,0,0,24887671,12,end,,"{""71"": 1}",frame_lock,BIKE 93060,1,True,False,ok,,13.755367777778,0,71,False,False,True,2019-11-15 15:44:00,0,,0,51.064195555556,dresden,True
93060,7551002317,0,,0,0,24887855,12,start,,"{""71"": 1}",frame_lock,BIKE 93060,1,True,False,ok,,13.755931111111,0,71,False,False,True,2019-11-15 17:11:00,0,,0,51.064711111111,dresden,True
93060,7551002317,0,,0,0,4783708,0,end,,"{""71"": 1}",frame_lock,Reichenbachstr. / Fritz-Löffler-Str.,1,False,False,ok,,13.730555176734924,0,71,False,True,True,2019-11-15 17:36:00,4464,free,0,51.03441479093599,dresden,True
93060,7551002317,0,,0,0,4783708,0,start,,"{""71"": 1}",frame_lock,Reichenbachstr. / Fritz-Löffler-Str.,1,False,False,ok,,13.730555176734924,0,71,False,True,True,2019-11-15 17:40:00,4464,free,0,51.03441479093599,dresden,True
93060,7551002317,0,,0,0,24893391,12,end,,"{""71"": 1}",frame_lock,BIKE 93060,1,True,False,ok,,13.732148888889,0,71,False,False,True,2019-11-15 17:48:00,0,,0,51.043782222222,dresden,True
93060,7551002317,0,,0,0,24893391,12,last,,"{""71"": 1}",frame_lock,BIKE 93060,1,True,False,ok,,13.732332222222,0,71,False,False,True,2019-11-15 23:59:00,0,,0,51.043844444444,dresden,True
93614,7551015424,0,,0,4,300246,0,first,,"{""15"": 1, ""71"": 1}",frame_lock,Markthalle Dresden,2,False,False,ok,,13.745548725128174,2,15,False,True,True,2019-11-15 00:00:00,4432,stele,0,51.05990081210173,dresden,True
93614,7551015424,0,,0,4,300246,0,start,,"{""15"": 1}",frame_lock,Markthalle Dresden,1,False,False,ok,,13.745548725128174,3,15,False,True,True,2019-11-15 13:46:00,4432,stele,0,51.05990081210173,dresden,True
93614,7551015424,0,,0,0,24883210,12,end,,"{""15"": 1}",frame_lock,BIKE 93614,1,True,False,ok,,13.746305555556,0,15,False,False,True,2019-11-15 13:59:00,0,,0,51.063297777778,dresden,True
93614,7551015424,0,,0,0,24883210,12,last,,"{""15"": 1}",frame_lock,BIKE 93614,1,True,False,ok,,13.746305555556,0,15,False,False,True,2019-11-15 23:59:00,0,,0,51.063297777778,dresden,True
93249,7551005287,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93249,7551005287,0,,0,0,310789,0,start,,"{""71"": 4}",frame_lock,Haltepunkt Plauen,4,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 09:57:00,4435,,0,51.030086474318246,dresden,True
93249,7551005287,0,,0,0,4405696,0,end,,"{""71"": 4}",frame_lock,Toeplerbau / Binderbau,4,False,False,ok,,13.72573,0,71,False,True,True,2019-11-15 10:27:00,4459,traffic_sign,0,51.02727,dresden,True
