p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,,0,4321,False,321013,,ok,93023,0,7551004111,2019-03-28 00:00:00,13.678997755051,,True,True,False,2,first,dresden,0,Ringhotel Residenz Alt Dresden,15,51.059779435159,0,"{""15"": 2}"
True,frame_lock,False,0,,0,4321,False,321013,,ok,93023,0,7551004111,2019-03-28 23:59:00,13.678997755051,,True,True,False,3,last,dresden,0,Ringhotel Residenz Alt Dresden,15,51.059779435159,,"{""15"": 3}"
True,frame_lock,False,0,,0,4408,False,217380,,ok,93146,0,7551005437,2019-03-28 00:00:00,13.741911649704,,True,True,False,5,first,dresden,0,Frauenkirche Dresden,0,51.052361351404,0,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4408,False,217380,"{""percentage"": 0}",ok,93146,0,7551005437,2019-03-28 13:02:00,13.741911649704,,True,True,False,3,start,dresden,0,Frauenkirche Dresden,0,51.052361351404,0,"{""undefined"": 1, ""15"": 2}"
False,frame_lock,False,0,,12,0,False,13783583,,ok,93146,0,7551005437,2019-03-28 13:21:00,13.73066,Schweriner Straße 1,True,True,True,1,end,dresden,0,BIKE 93146,0,51.051706666667,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13787655,,ok,93146,0,7551005437,2019-03-28 17:37:00,13.730413333333,Schweriner Straße 7,True,True,True,1,start,dresden,0,BIKE 93146,0,51.052008888889,,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4496,False,10299726,,ok,93146,0,7551005437,2019-03-28 17:44:00,13.71493,,True,True,False,4,end,dresden,0,Manitiusstraße,0,51.05658,,"{""undefined"": 2, ""15"": 2}"
True,frame_lock,False,0,free,0,4496,False,10299726,,ok,93146,0,7551005437,2019-03-28 18:32:00,13.71493,,True,True,False,5,start,dresden,0,Manitiusstraße,0,51.05658,,"{""undefined"": 2, ""15"": 3}"
False,frame_lock,False,0,,12,0,False,13794537,,ok,93146,0,7551005437,2019-03-28 18:41:00,13.691937777778,Hamburger Straße,True,True,True,1,end,dresden,0,BIKE 93146,0,51.061515555556,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13795677,,ok,93146,0,7551005437,2019-03-28 23:59:00,13.690698888889,Hamburger Straße,True,True,True,1,last,dresden,0,BIKE 93146,0,51.061315555556,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13740974,,ok,93743,0,7551003521,2019-03-28 00:00:00,13.743218888889,,True,True,True,1,first,dresden,0,BIKE 93743,15,51.074048888889,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13740974,,ok,93743,0,7551003521,2019-03-28 23:59:00,13.742893333333,Gutschmidstraße 19,True,True,True,1,last,dresden,0,BIKE 93743,15,51.074137777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13780913,"{""percentage"": 0}",ok,93243,0,7551006675,2019-03-28 11:50:00,13.702498888889,Bonhoefferplatz,True,True,True,1,first,dresden,0,BIKE 93243,0,51.038475555556,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13780913,,ok,93243,0,7551006675,2019-03-28 16:08:00,13.703033333333,Clara-Viebig-Straße 12,True,True,True,1,start,dresden,0,BIKE 93243,0,51.038364444444,,"{""undefined"": 1}"
