p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
True,frame_lock,False,0,,0,4341,False,264540,ok,93395,0,7551006374,2019-03-01 00:00:00,13.747447729111,,True,True,False,1,first,dresden,0,Buchenstr. / Hechtstr.,15,51.078514918873,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4341,False,264540,ok,93395,0,7551006374,2019-03-01 16:48:00,13.747447729111,,True,True,False,1,start,dresden,0,Buchenstr. / Hechtstr.,15,51.078514918873,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4341,False,264540,ok,93395,0,7551006374,2019-03-01 16:50:00,13.747447729111,,True,True,False,1,end,dresden,0,Buchenstr. / Hechtstr.,15,51.078514918873,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4341,False,264540,ok,93395,0,7551006374,2019-03-01 23:59:00,13.747447729111,,True,True,False,1,last,dresden,0,Buchenstr. / Hechtstr.,15,51.078514918873,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13060992,ok,93399,0,7551006438,2019-03-01 00:00:00,13.69035,,True,True,True,1,first,dresden,0,BIKE 93399,0,51.041555555556,0,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4483,False,10299584,ok,93399,0,7551006438,2019-03-01 05:25:00,13.69113,,True,True,False,1,start,dresden,0,Malterstraße (Haltestelle),0,51.04257,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13064553,ok,93399,0,7551006438,2019-03-01 05:42:00,13.730212222222,,True,True,True,1,end,dresden,0,BIKE 93399,0,51.052813333333,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13064553,ok,93399,0,7551006438,2019-03-01 16:48:00,13.730455711806,,True,True,True,1,start,dresden,0,BIKE 93399,0,51.052856666667,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13064553,ok,93399,0,7551006438,2019-03-01 16:50:00,13.730455711806,,True,True,True,1,end,dresden,0,BIKE 93399,0,51.052856666667,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13064553,ok,93399,0,7551006438,2019-03-01 23:59:00,13.730306815321,,True,True,True,1,last,dresden,0,BIKE 93399,0,51.053039652778,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4306,False,40,ok,93055,0,7551005299,2019-03-01 00:00:00,13.738875389099,,True,True,False,1,first,dresden,0,NH-Hotel / Hansa Str. 43,15,51.074133423336,0,"{""15"": 1}"
True,frame_lock,False,0,,0,4306,False,40,ok,93055,0,7551005299,2019-03-01 16:48:00,13.738875389099,,True,True,False,2,start,dresden,0,NH-Hotel / Hansa Str. 43,15,51.074133423336,0,"{""15"": 2}"
True,frame_lock,False,0,,0,4306,False,40,ok,93055,0,7551005299,2019-03-01 16:50:00,13.738875389099,,True,True,False,2,end,dresden,0,NH-Hotel / Hansa Str. 43,15,51.074133423336,0,"{""15"": 2}"
True,frame_lock,False,0,,0,4306,False,40,ok,93055,0,7551005299,2019-03-01 23:59:00,13.738875389099,,True,True,False,2,last,dresden,0,NH-Hotel / Hansa Str. 43,15,51.074133423336,0,"{""15"": 2}"
False,frame_lock,False,0,,12,0,False,13061080,ok,93051,0,7551007245,2019-03-01 00:00:00,13.840676666667,,True,True,True,1,first,dresden,0,BIKE 93051,15,51.02128,0,"{""15"": 1}"
True,frame_lock,False,6,stele,0,4365,False,264566,ok,93051,0,7551007245,2019-03-01 16:48:00,13.838900327682,,True,True,False,5,start,dresden,0,DVB Endpunkt Laubegast,15,51.022778359957,0,"{""15"": 5}"
True,frame_lock,False,6,stele,0,4365,False,264566,ok,93051,0,7551007245,2019-03-01 16:50:00,13.838900327682,,True,True,False,5,end,dresden,0,DVB Endpunkt Laubegast,15,51.022778359957,0,"{""15"": 5}"
True,frame_lock,False,6,stele,0,4365,False,264566,ok,93051,0,7551007245,2019-03-01 23:59:00,13.838900327682,,True,True,False,5,last,dresden,0,DVB Endpunkt Laubegast,15,51.022778359957,0,"{""15"": 5}"
True,frame_lock,False,0,free,0,4348,False,264548,ok,93146,0,7551005437,2019-03-01 00:03:00,13.722910881043,,True,True,False,2,first,dresden,0,Nürnberger Ei,0,51.03376708728,0,"{""undefined"": 1, ""15"": 1}"
True,frame_lock,False,0,free,0,4348,False,264548,ok,93146,0,7551005437,2019-03-01 12:08:00,13.722910881043,,True,True,False,5,start,dresden,0,Nürnberger Ei,0,51.03376708728,0,"{""undefined"": 2, ""15"": 3}"
